Adam Wingard
Ashley Douglass
Brian Avery Galligan
Kerry Lyn McKissick
David H. Venghaus Jr.
George Cottle
Jon Watts
Enrico Casarosa
Kelly Bonbright
Rayna Helgens
Craig Gillespie
Kimi Webber
Zack Snyder
Byron Howard
Charise Castro Smith
Jared Bush
Anthony Russo
Chris Castaldi
Edward Catley
Joe Russo
Mark Johnston
Simon Downes
Justin Lin
Carlos López Estrada
Don Hall
John Ripa
Paul Briggs
Todd Phillips
Andy Serkis
Brian Smrz
K.C. Hodenfield
Max Sturgeon
Simon McQuoid
James Gunn
Kemp Powers
Pete Docter
Annie Penn
Charlotte Mason-Apps
Chris Carreras
Chris Columbus
David R. Ellis
Ian Dray
Michael Michael
Michael Stevenson
R.J. Mino
Malcolm D. Lee
Josh Cooley
David Waters
Jeffrey Wetzel
Joann Connolly
Jody Blose
Michael Chaves
Alexander Yurchikov
Cate Shortland
Glen Caroll
Jamie Christopher
Josh Goodman
Mark Cockren
Philip Banks
Jenny Gage
Roger Kumble
Jeff Fowler
Justin Muller
Derek Drymon
Jennifer Kluska
Patty Jenkins
Toby Hefferman
Alleris Gillham
Artur Surma
Jelena Grisina
Josh Robertson
Tom Brewster
Tom Waterman
Tom McGrath
Adrian Molina
Lee Unkrich
Garth Jennings
Eli Sasich
Hajar Mainl
Lori Grabowski
Mark Rossini
Jaume Collet-Serra
Everardo Gout
James Moran
Mike Gunther
Vickie M. Hsieh
Niki Caro
Joel Crawford
Adam Bocknek
Andy Muschietti
Michael Lerman
Carolina Jiménez
Isaac Nadreau
Josh McLaglen
Shawn Levy
Dan Scanlon
Chloé Zhao
Dan DeLeeuw
Joe Geary
Simon Warnock
Chris McKay
Jon Favreau
Cathy Yan
Tim Story
Anna Boden
Jeff Habberstad
Lars P. Winther
Ryan Fleck
Bong Joon-ho
